review_id,comment,score,reference_label,title,department,class_name
4196,"This is a pretty blouse that is also very comfortable. i am always an xl in retailer tops, but i needed to go down to a large on this one. this blouse is cut generously everywhere, but going down one size was perfect for me. the fabric in the back falls from the shoulder blade area, so it has a very nice drape in the back. the sleeve cuffs and placket are some sort of cotton, so the cuff made a nice base to fold the sleeve around and up to the elbow. i wore a nude bra underneath, and i can't see m",5,positive,Pretty blouse; comfortable; buy one size smaller,Tops,Knits
10528,"Love this, but it is not a true white. it's slightly ivory, winter white. please be accurate with color descriptions! it's extremely frustrating when online retailers don't describe colors accurately. it can be hard to see subtle color differences in photos (especially with the color white) due to lighting of the shot. we rely on descriptions when ordering online. it's not difficult to do, really it's not.

that said, i didn't have any armhole trouble as others did. they were sized just right,",4,positive,Nice...but not true white,Tops,Knits
12807,"I love the style and quality of this skirt. the material is a bit heavier than anticipated, so it works well in cooler months, and the thickness makes it easy to wear a shirt underneath. it fits true to size - my usual 6 is form-fitting without being overly snug or pulled.

i am on the taller side, and the skirt is fairly long - it comes to the bottom of my knee.",5,positive,Great twist on a pencil skirt,Bottoms,Skirts
1914,"1. i'm 5'5"" tall, 143 lbs, and 38-32-40 and my normal size 10s fit me perfectly.",5,positive,Nice summer pants.,Bottoms,Pants
5719,I really liked this top when i saw it online. i went to the store to check the sizes. i am a small or a medium. i tried on the s and the xs. even the xs was huge. unfortunately the xxs is sold out. i don't understand the sizing on this at all. it's a shame because the top itself is very pretty. just be sure you try it on before purchasing.,3,neutral,Huge!,Tops,Knits
12110,I returned the dress because the color was not as pictured in the online photo. i did not like the color.,2,negative,Color not as pictured,Dresses,Dresses
18967,This skirt is amazing! it has the right amount of sparkle and the right amount of shape. i bought this in a size six which i can really switch between 6 and 8 depending but the six fits perfectly. i also bought the regular length even though i could probably be considered petite but it ended up being perfect. but the skirt is so lovely in person and has just enough wow that you can wear this thing with a simple tee and still look amazing. i wore this to a party with a black high neck tank and re,5,positive,Simple little wow piece,Bottoms,Skirts
18521,"I did like the dress, but don't love it. i think it would have been better for me if it were snugger. the xxs petite was still loose and i found that there are so many dresses with the similar fit, i decided to pass... i also do like both colors, the brown is a better choice for me on my skin tone (warmer), but both are nice. i am 115 lbs, 30dd, 26.5 in waist.",4,positive,Fun everyday dress,Dresses,Dresses
6656,Super comfortable and on trend with the embroidery and beading - wore it day after i received to the airport over tee shirt & jeans and got compliments left and right - love it!!,5,positive,Cute comfortable great details,Jackets,Jackets
14774,These run small. i normally wear 28 on ag stevie's and paige jeans so i ordered these in 28 and they were very tight. otherwise very well made and super cute but i had to return them.,3,neutral,Cute but very tight,Bottoms,Jeans
20605,"I love these pants! super comfy - fit well and a great color. i knew immediately when i put them on that i would love them. and the button fly? to die for. 
wore them and they did stretch out a bit by the end of the day but they didn't look awful and super baggy. i bought the other color in a size smaller so they might be better. a great pant for summer!",5,positive,Best pants ever,Bottoms,Pants
670,"I really wanted this skirt to work but it didn't look very flattering on me. a great midi length and very cool pattern, so hopefully will work for others!",3,neutral,Cute but didn't work for me :(,Bottoms,Skirts
20001,"I was wondering whether to purchase this top and decided last weekend during the 20% off event, i would splurge!!! i got the m as i'm tall (5'10"") and it does look a little strange on the arms atleast on my body. the sleeve is cut too high for me. i wish it was longer or even a long-sleeved item! the peach-apricot- nude colored fabric is a little uncomfortable and the fabric close to the neck is a different grey from the other sweatshirt pieces. the sweatshirt pieces aren't particularly soft eit",3,neutral,Cute but not comfortable,Tops,Knits
6370,This skirt is very comfortable and fits tts or even runs a bit large. i was able to dress it up with a great white shirt and statement necklace. great find.,5,positive,Comfy,Bottoms,Skirts
21702,"I ordered these on sale despite a previous reviewer's comment that they were unflattering on the back side. they really do hug your bum, but that is not what bothers me. what bothers me is that the back side is totally see through, so unless you plan on wearing them with a long top, they are not wearable in public or around other people. i have gotten some of my favorite pieces from retailer, but also some of the most poorly designed. unfortunately, these fall in the latter category.",3,neutral,Comfy but see through,Intimate,Lounge
18898,"I love this jess. i got it in the blue gray color, and i think it's going to be great for spring and will work into summer as well. cloth and stone is always one of my favorite brands and this dress is so soft. i'm thinking that i'm going to belt it to give it some more shape but i like how it looks unbelted as well",4,positive,So soft !,Dresses,Dresses
3340,No only is this a beautiful update to a basic white top it is incredibly soft. i couldn't pass it up and wish it came in more colors!,5,positive,Soft and beautiful,Tops,Blouses
10010,"This is a great dress from moving to summer into fall. it's great right now with the warm temps, but a throw on a jacket and some booties and you have a fall outfit. it's very comfortable also. there is a slip underneath which is what you see with the buttons open in the front. i wish the slip was a little longer and the dress is see through. maybe, you can adjust it at the straps some. at any rate, it's a nice dress and i'm keeping it.",5,positive,Great transitional piece,Dresses,Dresses
10569,"I bought the holly color which appears almost granite/slate color in natural light. overall, great transitional sweater piece for fall. i'm considering exchanging it for an xs since the s seems a bit large. comfy/cozy yet breathable.",4,positive,Great fall piece,Tops,Sweaters
5849,"I typically wear a 26 or 27 in jeans, had to size up to a 28 in these. the legs felt fine in the size 27, but the waistband was a bit tight, so i went with the 28s. i am 5'2"" 115lbs. i'll also be hemming or possibly just cutting these off, they are about 4 inches longer on me compared to the model pictured.",5,positive,Size up,Bottoms,Jeans
18169,"Interesting, slightly transparent fabric. neckline is not so open as pictured. body is boxier than pictured.
would recommend as a maybe.",3,neutral,Boxier than it appears,Tops,Knits
17917,"I got so many compliments on this the first day i wore it. i think of this more like a sweater coat than a regular sweater. it is extremely soft and warm, but not bulky at all. it lays really neatly, which is why i think of it more like a coat. this will definitely be a staple moving into the winter and then into spring. keep in mind though that this does not button - they're just for show.",4,positive,Soft and thick without the bulk,Tops,Sweaters
7125,Like the style of a blazer but the fabric of denim. looking forward to pairing with dresses and black pants,5,positive,Blazer with a casual twist,Jackets,Jackets
6864,"I love this cardigan! its fit, however, really depends a lot on an individual's height and build. i am about 150 lbs. i have slim arms and am larger in the chest. my typical size in retailer clothing is m. having said that, i found that in this top a s fit best. it made a difference with how the pockets and lapels lay. the pants you wear may affect the look when you snap it closed. wearing leggings or slim pants (ex. pilcro cords) gave a much more flattering look to my backside. jeans...not so muc",5,positive,Cozy and stylish,Intimate,Lounge
12229,I really liked the design. ordered a medium which was huge. also thought i would not be able to tolerate it because of the material -- a bit itchy. returned it.,1,negative,Runs really large,Tops,Fine gauge
9928,Fancy and fun. i love the green and the texture. shiny outside and soft inside. flattering fit and a little whimsical and dressy or casual.,4,positive,Fun andfestive,Tops,Knits
2985,I wore this dress to work with a tan pair of booties and the compliments started upon entry and did not stop till the end of the day. very feminine and comfy all at once.,5,positive,Compliment grabber,Dresses,Dresses
14896,"I bought this in june on a sale and am so glad that i did. it''s so pretty and classy. the neck has stretch so it's not tight at all. it's styled like a swing top, but it really isn't. there isn't much of a fabric abundance to this, although it is loose (and cool.) i bought an xl, which is my usual size and the fit is fine.

there are 2 layers of fabric. i do not think a cami is needed at all.

i bought this in black and the floral embroidery just pops! i'm just not a white fan due to cleani",5,positive,Love it!,Tops,Blouses
10827,"So this skirt is everything. the only downside is that it's not in a petite sizing so i'm going to have to get this altered (i'm 5'3). the sizing is appropriate (usually wear an 8 or 10 in pants and got a size medium for the skirt), the material is thick enough for spring or summer weather, the color is just right (not too light), the pockets are adorable and i feel like i'm channeling some 70's realness, sits higher on your waist, and is super comfortable. i know i'm going to get a lot of use o",4,positive,Please and thank you,Bottoms,Skirts
4290,"This dress looks great online with boots as shown. when it arrived and i tried it on, it fit great on my arms, wasn't too tight on my neck, but once it went down over my chest (36c), the dress never came back ""in"" to show my feminine waist/shape. it just looked like a big trash bag on me, very disappointing! similar to a mumu.",2,negative,Fits like a mumu,Dresses,Dresses
23341,"I ordered this top in small petite but wished i had exchanged it for an xsp because it's wide in the arm holes. but i love it nonetheless and wear it with a cami underneath. i love that while it's sleeveless, the straps are wide. this type of wide top is not for well endowed women up top. i don't have that problem so it looks really cute. i also love the length. a lot of tops tend to be really long and for a petite person, shorter tops look best.",4,positive,Love the color!,Tops,Knits
4635,"I was excited to get this shirt in the mail, i liked the pattern a lot, but was so disappointed when i tried it on. i am 5'4"", 130 lbs. and wear a c cup so i tried ordering a small as a starting point. there was enough fabric on the sides to make another shirt! despite the excess fabric, the shirt pulled open in the chest area, making it a complete fail. i'm sure the model in the photo must have the shirt clipped in the back to pull in the excess fabric, especially since she's small on top. ther",1,negative,"Ridiculously big, unflattering over bust",Tops,Knits
10967,"Love the print and was looking forward to this dress. the length and bust are just right in normal sizing, however the 'swing' effect is all off. there's so much fabric. its like wearing a moo moo. not at all flattering. disappointed in this one.",1,negative,Too much fabric...horrible design,Dresses,Dresses
12844,"The jacket runs large so size down. it's a good jacket to throw on the go. but i don't see this lasting long bc after he first wash, it started piling. the quality of the material isn't great!",4,positive,Cute jacket but low quality,Jackets,Jackets
21596,Lovely dress. i did send it back only because the length was below my knee and i prefer slightly above the knee.,4,positive,,Dresses,Dresses
138,I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,4,positive,Feminine alternative to your shapeless puffer,Intimate,Lounge
10498,"I waited six weeks for this dress to arrive and was so disappointed. loved the skirt part of it. but the top, which i guess i didn't see in photo was pleated as well, made my bust look huge and it puffed out on sides. would have been a wonderful summer dress, flowing and cool.",2,negative,Wanted to love it...,Dresses,Dresses
20857,"This just arrived today. the material is very soft and i love the olive color. it has a zipper in the back but i was able to easily slip this over my head, making me think it runs a bit large. because it is loose the fact that the drop waist hits right at the hip doesn't bother me, though i thought it would fall a little lower. i am only 5'2"" and i consider this to be a short dress. with thick leggings i think it will be great winter dress. the bodice is fully lined (the skirt is not) and the ne",4,positive,"Soft, comfy, and a very casual",Dresses,Dresses
2425,"This jacket looked adorable on. it was also quite comfortable. however, it sheds and left fuzz on every dark surface it touched. sadly, this is a deal breaker for me.",2,negative,Looks cute - but sheds!,Tops,Knits
22801,"Loved the fabric of this dress, and the slip that comes with it. i wish the waist line fit a little better though. i am 5'4"" with an athletic build and it looked really boxy on me. i was so disappointed. thought i could synch it in to make it work, but think this is a return.",4,positive,Loved the fabric,Dresses,Dresses
18474,"I loved this dress in the photos and couldn't wait to try it on in person. the print varies from dress to dress and mine had noticeably much more cream color in it. i didn't mind too much but it didn't look like the dress the model is wearing. i bought the xxs petite which fit true to size. the v neck is a bit low for petite sizing but the length was perfect on my 5'2"" frame which was a plus. i agree with the other reviewers the fabric is cheap and feels cheap. not something i would expect from",3,neutral,Bohemian chic,Dresses,Dresses
8728,"I loved the design online but the sweater is bulky and boxy. i had chosen the cream with blue and now looking back at the other pictures of the beige/cream it represents it better. it made me look very wide. loved it online but it wasn't for me, returned it.",2,negative,Boxy,Tops,Sweaters
14868,"I wanted to get a couple tops for date nights that went well with skinny jeans and this hit the mark! as mentioned before, this top is translucent and thus would recommend using a cami as well. however the embroidery is beautiful. i have not had it cleaned yet and thus cannot comment on the durability. can't wait to wear it out.",4,positive,So pretty!,Tops,Blouses
23029,"Love the print, length, and cut. but the tie waist hangs in a weird way and seemed like it would stretch out and sag after a while. sad to return it.",3,neutral,Tie waist deal breaker,Bottoms,Skirts
6018,"Absolutely fantastic top, the cut is very flattering and the colors are gorgeous in the pattern (i also bought the white).",5,positive,Would wear it every day if i could,Tops,Knits
10267,"As other reviewers have pointed out, the bum is not flattering. the pockets are wide and the fit sort of flattens you out. bummer. literally. too bad, i wanted these to work more than then coh's parker cropped. the coh's win. my wallet loses.",3,neutral,"Love everything about these, except for the butt.",Bottoms,Jeans
11335,"Great top to dress (further) up or down. it does, however, run large and the straps seem (too) long. if you are a petite you will not be able to wear a regular without alterations.",4,positive,Prettier than the photo,Tops,Knits
10695,"Fabulous dress!
clip off the tags because they show through the lace on the back (you can see this on the back photo of one recent reviewer).",5,positive,Here&amp;#39;s a tip!,Dresses,Dresses
9752,"Very soft, comfy, lightweight sweater. perfect for layering as the weather gets cooler. looks great with jeans or jean shorts.",4,positive,Great transitional sweater!,Tops,Fine gauge
6641,Very flattering on. fitted on top with a loose swingy bottom. like most retailer tops it does run a little big. i would size down if between sizes. the material does seem a little fragile so i'm not sure how it will hold up. i like the look/fit enough that i may get a 2nd color.,5,positive,Love it!,Tops,Knits
3958,This romper is adorable!!! i love the long sleeves!,5,positive,So adorable,Bottoms,Shorts
10255,"I was excited to see this offered by retailer because i have been looking for a light blue summer jacket or blazer that isn't a denim jacket and this seemed to fit the bill. i've ordered several cartonnier blazers in 00p, as early as 2013 and as late as spring 2015, and have been very happy with them. on the plus side i would say that the color is depicted accurately and it does seem like a high quality jacket. but while the shoulders and sleeves were a pretty standard fit for 00p, it was much too",3,neutral,Unflattering cut,Jackets,Jackets
19890,Saw this top online and hoped for the best. my hopes were rewarded! lovely lightweight summery top but i think with a cardigan it could be worn in the fall also. i asked 4 friends if they liked it and they all agreed it was very flattering so i decided it was a keeper. have worn it three times since purchasing and have received lots of compliments.,5,positive,"Pretty, colorful top",Tops,Knits
226,"This top is really pretty and nice quality. runs big - i went down a size, and its perfect. coloring is more subtle in person than in the photo.",5,positive,Pretty,Tops,Blouses
19865,"I purchased this top in the wine color and found it to be cute and comfortable. the sleeves are not tight which is nice, but it is very short and moving your arms away from our sides make this shirt look a little bit like a tent. the color is pretty and the button detail is nice.
overall good purchase, but i'm glad i got it on sale!",4,positive,A little on the short side,Tops,Blouses
6174,Great boho chic top. a bit over - sized but soft and love the colors!,4,positive,,Tops,Knits
20382,I just picked this up in store the other day! i absolutely love it! it is so easy to throw on real quick for a cute outfit.,5,positive,,Tops,Knits
13114,The dress is true to fit and very soft. you can dress it up or be casual with a denim jacket.,5,positive,Cute dress,Dresses,Dresses
3372,This shirt is so cute with the cutout stripes and it goes with everything. it's easy to wear and true to size. you can dress it up or dress it down. the fabric is soft but also light weight. i am so happy to own this classic piece.,5,positive,White lattice t,Tops,Knits
14170,"I agree with everything the other reviewer stated. this top is very billowy and runs large, it would be nice if i didn't have a chest! the other issue with this top is the macrame detailing is made more out of a satin like material and i wanted it to look closer to natural raw fiber. the pink is slightly more pink in person but it's not that far off. had to return.",4,positive,Like a tent,Tops,Knits
1108,"I'm 5' 0"" and 120 pounds. this top is beautiful. it's high neck is so flattering. a nice switch it up for us gals that are older and like neck coverage sometimes. i purchased a small and it is a little longer, but since it has elastic at the waist it's no problem. i will tuck it in my jeans and skirts. the arm holes are perfect. the as far as it being a lot of blouse, i didn't find that at all. but i am busty, 34c or d depending on brand of bra. the color is ivory. omits completely sheer, no lin",5,positive,Victorian in a good way,Tops,Blouses
14052,"Perfect sweater to throw on with anything. it is fairly thin, i wore a cami underneath. the sleeves and hem are rolled. you have to be careful and it can snag easily. happy with my purchase.",4,positive,Goes with everything,Tops,Fine gauge
14268,"I ordered this blazer so i could look more put-together for work, but still feel comfortable. it checks both of those boxes, (it's almost like a sweatshirt material with more structure) and has a great cut/style. my only word of caution is that i thought this jacket was white with blue stripes, but the white part is actually a light heathered gray. i think i would have preferred white, but i still like it enough to keep. got my normal size small, which fit great.",5,positive,Perfect for work,Jackets,Jackets
13659,"I ordered 2 sizes to try for in store pickup. both were too large, so size down (i am 5'4"", 125 lbs and the s was too large in the neck and body, even though i generally wear things large). also, the collar was a hemmed flat collar, not the roll collar depicted. i reviewed that with the salesperson as well -- we were both at a loss to explain why, and the tiger embellishments were more orange, yellow and glittery on the ones i ordered.",3,neutral,,Tops,Knits
14856,"I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen, in person it looks cheap and tacky. moreover, the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.
overpriced, to boot.
obviously, mine is a minority opinion.",2,negative,Disappointing,Tops,Blouses
2618,I agree with the other reviewer that the color of this top is more burgundy with purple undertones rather than a deep red like shown online. the fit was very boxy on me and it did not look flattering. i was not willing to to have it altered so i returned it.,3,neutral,Dissapointed,Tops,Blouses
14405,I am wearing a medium in the photos and for reference my measurements are 38-30-40. i did not purchase this top.,3,neutral,Nothing special,Tops,Knits
2498,I always search each summer for a maxi dress and this is the winner this summed! i love the way it wraps. fits perfectly. i got a size medium and i am 5'5 34dd; the dress is long enough to wear with flats or heels. i recommend this!,5,positive,,Dresses,Dresses
20914,"I got this shirt and loved it so much the first time i wore it. it swings well and is an easy basic that looks great. however, after i washed it the first time, it became clingy and stuck to me and doesn't lie right. it's such a shame because i was thrilled with this as an addition to my wardrobe!",3,neutral,Awesome shirt but doesn't hold up well after washi,Tops,Knits
6981,"I bought this tunic to wear as a swim cover-up, last minute. but it has become my go to for wearing over skinny jeans. the length makes it so versatile, great layering piece.",4,positive,Tunic for everything,Intimate,Lounge
4505,"These jeans are very unique thanks to the embroiding. would have perferred colorful embroiding though. they are boyfriend cut, but not slouchy. just a bit loose even around athletic legs. they run true to size, but have a lot of give. after wearing them for a a little bit i catch myself pulling them up a bit. if you want a snug fit and are between sized i would go down a size.",4,positive,Very unique jeans,Bottoms,Jeans
22104,Does not say ribbed. did not want ribbed. would not have bought ribbed,1,negative,Not as listed,Intimate,Legwear
4733,"Great petite maxi! i'm 5'3 and it skims the top of my feet. soft, fits great and went right into my suitcase for my upcoming  trip. can dress up or down.",5,positive,Love!,Dresses,Dresses
15956,"Normally i would not have bought this color and print, it is just not a color that i usually wear. but after reading reviews i ordered it online. i love love this top. it looks good, is flattering, and is a very nice and different color. i wore it with berry leggings and love it. the top is very comfortable, can be worn with pants and leggings. the only issue i have is that since the jersey fabric is only at the back and not in the front, it pulls at the tummy section in the front and shows an o",5,positive,Amazing top,Tops,Knits
3386,"The fabric is so thin, i think this entire garment might actually fit in a normal-sized letter envelope. the problem is not going to be that the garment is see-through (which it is) - it's the fact that the super thin fabric is not silky, it's cotton-ey, and i suspect it will get ""stuck"" against the back of my shirt/pants while i'm wearing it and not drape nicely. i wonder if some tiny weights could be sewn to the bottom hem to keep it laying properly.....

however, i'm such a sucker for a pre",4,positive,"Super-thin fabric, but really pretty",Jackets,Jackets
4627,"I purchased the blouse in both the ivory and black. the black i decided to keep because it will go with anything. i was hoping the ivory blouse would work but it's thin and see through. if someone could please tell me where i could find a casual, white or ivory blouse that is not entirely see through i would greatly appreciate it!",3,neutral,Another see through ivory blouse,Tops,Blouses
15031,"This dress might be the most comfortable article of clothing i own, especially for the hot summers. it is attractively loose, and so light that you barely feel like you are wearing it. love it!",5,positive,Perfect for summer,Dresses,Dresses
23461,"I tried these on at the store and the fit was good, the length was even ok for me as a petite person. the fabric was substantial and mostly cotton, which i like. but i felt like the floral pattern drew too much attention to my thighs, so it wasn't ultimately something i felt i would wear. still a nice comfort piece if you are ok with a floral pattern on your lower half.",4,positive,Comfortable but not super-flattering on me,Intimate,Lounge
14903,"I like how this jacket is very versatile. you can wear it to work, or play. it does have interesting detail on it, i kept it based on the price and those details. i have the olive color. the arms are a little tight.",3,neutral,Several ways to wear,Jackets,Jackets
16521,I tried this on in the store and almost considered buying it until i looked at the price tag. i think it's unique and interesting. i just don't think it's worth the $$$. the fabric is nothing special and the construction is not complicated enough to warrant the cost. i would consider it on sale. retailer has more interesting sweaters made with softer blends for a similar price - all things considered i don't think it's a smart purchase.,4,positive,Can't bring myself to pay full price for this....,Tops,Sweaters
23122,"It's a pretty, low-key, no fuss skirt. i prefer the ivory color because the details are more visible (there are different designs in the same hue). the zipper is very thick and sturdy, a bonus. size 2 regular fit me well, the hem falls right above my knees (i'm 5'2"", 26 waist, 36 hips), perfect for work and play. a touch of linen keeps the fabric cool for summer, but it doesn't wrinkle. for the price and the name like ""thera,"" i expect more flair to match its mediterranean name. for those who do",4,positive,Nice basic skirt,Bottoms,Skirts
13976,Beautiful pattern and shape! however i had to send it back! it is extremely see through and ran very small! i even sized up and it still pulled in the bust area! maybe someone with a smaller bust might fit them better!,3,neutral,,Tops,Blouses
9218,"I wasn't sure about these when i first took them out, but they are so cute! the fabric is super soft and skims the body/is not clingy. i got the black & the red. the red is more of a magenta, but i'm okay with that. i think these will be great in the fall and early winter too, under cardigans & light jackets. another bonus, they do not show a ton of cleavage, like a lot of tops out there. the arm holes are also very close to perfect. i hate how big the armholes are on tops that basically require",4,positive,"Easy, versatile top",Tops,Knits
1247,I just bought this top yesterday in the yellow. i can't wait until it warms up a little more to wear it. it's very comfortable and very cute. i did have to size down. i may get one of the other prints as well.,5,positive,This top is really cute,Tops,Blouses
4117,"This is very cute and well-made, but unfortunately for my coloring and hair, washed me out a bit. the attention to detail is fabulous and it is a great layering piece for spring. tts but definitely longer as is shown in picture on model.",4,positive,Cute!,Jackets,Jackets
13926,"Never spent this much on a dress so it needs to be amazing for me to keep it.  i've never seen flannel patterns and colors like this. the details in the back are unique. but in the end, i decided to return because it's too long and although it fit fine in a size large it didn't look that great on me. the dress has an exaggerated drop waist that was too low for my short waisted frame. the fabric smells odd. i tried belting it but the pockets and back buttons created bulk.",4,positive,Amazing flannel,Trend,Trend
3720,"I love this dress! it's so comfy and flowy. i wore to an event and got many compliments on the color and design of the dress. i'm 5'5"" and weigh 150.",5,positive,Boho beauty,Dresses,Dresses
19682,"Very very boxy design/cut. try on first or buy knowing you are 90% likely to return. beautiful skirt but if you don't have the right body type/measurements, will not flatter you at all.",2,negative,,Bottoms,Skirts
4035,"I love this dress! i bought the blue one and i love the designs. i recently had a baby so my body is still recovering so finding clothes is a bit difficult, but this dress looks awesome and it makes me feel like how i was before i was pregnant! it flows nicely and is super comfortable.",5,positive,Comfortable dress!,Dresses,Dresses
978,"I tried this dress on in the store and ended up ordering it online during the dress sale. it is extremely flattering and really accentuates the waist. it is very comfortable, and made of a nice, soft fabric. i am a 34a and it just barely reveals a tiny bit of cleavage so i don't find the neckline too low. i plan to wear it with tights and booties. i am 5' 4"" and the regular xs comes to a bit below my knees. going to enjoy wearing this lovely dress!",5,positive,Great dress!,Dresses,Dresses
12864,"I love charlie pants. i've bought a few in the past, and i've never been disappointed with quality, style, or fit. i love the side zip on these and the nice flat front as a result. i wish more pants were side zip- so much more flattering than having that part stick out under fitted shirts. i got these in a 4, my usual size, and while they fit a little more snugly than my other size 4 charlie pants, there is enough stretch that they don't look or feel too tight. i also got these in the regular, r",5,positive,Great pants!,Bottoms,Pants
18210,"I decided to go shopping at my local co store and as soon as i walked in, i saw this skirt but it was used  as a top with green cropped summery pants on a mannequin. one of the lovely salesgirls decided she liked it better that way after she tried it as a top herself.  i tried it as well and love it as a top! she was small framed and my height and told me she sized up for comfort and she was correct. if used with a strapless bra, your regular size ( mine is a small) will be uncomfortable. howeve",5,positive,Use as a top!,Bottoms,Skirts
5595,"I got this shirt in black, and it's perfect for the office. i ordered a medium, which i thought was a little on the larger side. well made, the details make it an interesting top.",5,positive,Great details,Tops,Blouses
4299,"In general, if you were a fan of the turtleneck swing dress, you'll love the overall fit (tts) and fabric of this. the patterns/colors are also great! my issue was the armholes...they are a bit too large and the opening comes a little too far forward which makes it a little unflattering in the underarm area. i may reconsider when it goes on sale, but it's a pass for now.",4,positive,Funny armholes,Dresses,Dresses
17046,"Perfect dress for the hot late summer/early autumn weeks! this beauty is flowy and rich in color. the tie back is adjustable which i love due to my weight fluctuations. because of the tie, length can be adjustable too! i'm short so the decision lies on what shoes i want to wear and how high i want my hem. this dress looks cute belted or with my cropped moto jacket thrown on top. all in all, i really like this dress and i see it staying in my closet for a long while if the horrid viscose construc",4,positive,Transitional magic,Dresses,Dresses
16763,"I am 5'3"", 28/38 and got the sp. had no issues whatsoever, and love the colors.",5,positive,Excellent,Bottoms,Skirts
12335,"I ordered this shirt online and didn't even try it on... it is super see through and i would need to wear a tank underneath and i don't want to have that extra layer in the summer.
it is cute though!",2,negative,Very see through,Tops,Blouses
16848,"I bought this in blue/black. it is so pretty. i get so many compliments. i'm a size 4/6 but large busted. i bought this in a medium & it's perfect. just the right amount of fullness. i'm 5'4"" so the length for me is perfect w/leggings.",5,positive,Pretty & comfy,Tops,Blouses
20992,"I am ever in search of a light, white, summer top. this is not quite it. there are two distinct layers, and each of them is the scratchy, starchy type of gauze. it would just roast me in the summer sun--but i run fairly hot in general.",3,neutral,Scratchy gauze,Tops,Blouses
