review_id,comment,score,reference_label
gp:AOqpTOHkmfI0dNq3vOSJGqkKywbp0z1Xn60Mp1-BMuA9dQNNMxoREtFmVZn0GCbSOHYJD5Qm4fuLqdQEpLN72g,Good one,4,positive
gp:AOqpTOFfWDbcm3e72Upyf_z4FIXnwvlG9xDLWDXbyZ7UPuao9laVWUsi7TzxD18PyKi1duczLzO15Viv5QFOuQ,this app sucks,1,negative
gp:AOqpTOERiPlu-7WA3K1de75DCcCJt13EObm6JPjfwS80-DOS2XFoFGcXdkl22i-Ci9U4b4clWIAz2ZH7sOn7M-w,"Calendar has a lot of good features but half the time my reminders don't go off so I miss them. Paid for the full version but it still didn't help. All of my Friday reminders finally chimed on Sunday, kinda pointless!!",3,neutral
gp:AOqpTOFYUpv9KufPXVg9A99Nq7xQtmQPbB1riFi_fSMEmkGrsWmOoIfnCsmRBSFtfSDCROlbNM2cAFHEwVWk,Bom,4,positive
gp:AOqpTOElyR4QW7vQEGPpYt59FnGLGZUTIoHHi1LJ-NjrFJbCnFr8Jw_PIynTJKiXGIxOccO4RhkKhI5aJrGjkIM,I'd rather have continous ads than a payed time subscription. Honestly the subscription seems pretty shady for somethng you can easily do yourself... $3.69 for a month subscription and $36 bucks for a yearly subscription? Seriously? Why not just pay a premium one-time payment costing $10? Pathetic.,1,negative
gp:AOqpTOGlV2PWQt6jlTmOR-Vmi66eRbTnYYEY8vdorLPbXJ_UAAvyyQJ1CF_sNFUYjewyM1e6dU1gy27cYA1Rhw,Right now i started this but feel very happy to install this application is its do easy and fast working.,4,positive
gp:AOqpTOHTxqFVl5-J9AUra8nvGShZKuzwjJhNDVyKEQg6LxKC5-tXzzOMtPTwTcSotlX6wTMNx1TVt5KO5OBY75s,shows monthly when startup even after changing it in the settings to show weekly. otherwise all around good app.,3,neutral
gp:AOqpTOG_Pq4rqoUaL4zJi_o2Ko3avVf7Ldoo3YdnVuElVtZ6GTKLl1VRutPSXa0f4yNXzBC19_TU3X6y00fWHw,The app really nice.....i request that the voice notification should be made more clearer and voice should be like dominating that can make orders,4,positive
gp:AOqpTOE1KnmDPinhZCpC4RHcd3_wN0vZvX-6NH249oXwZ-r6NuQDuFLLcks4ffNAvfd5iPCG2LIBSnAXY9zh9Q,"Would have given it 5 stars, but it doesn't seem to want to rotate when using my tablet.",4,positive
gp:AOqpTOHeY_UiQaLos1sHY-snt6Nw3tRTPIUe3HeuqHVAsjKYwvxMbz_VeO2-8K2yFOG0pQztoA6BTa4GPxxhfw,The free app works well but pops up with annoying notifications every now and then to remind you to set more reminders... Kind of pointless. I'm also not a fan of the subscription model for premium. The layout and app itself is good though so it's a shame about those negatives. I would have considered buying if there was a one-time payment model.,3,neutral
gp:AOqpTOF0NaJ3t46nm28jcZqRfCDUsUu4DX7NNxW7zhDti1Trw3KwyJ6NXcvQqkPM0c4CNYhA3CPrWI8OJ9Kcfg,"Ive used this app a couple times now, only uninstalling because school ended, but this app is amazing when it comes down to it. It encourages people to do the stuff that they need to without the complication of being told off by others. Plus, it has a cool rpg theme thats great for anybody who has grown up with/rpg game like elements.",5,positive
gp:AOqpTOH59_VA9m6frFAechkKdRUZJX6EY9SavrX4tH6REez_MqWrqDRg5mct2j4QcqDLgZmbYTMl22eJC1mw_FA,"Great idea, but does not give notifications for me, which was really the thing I was looking for....",2,negative
gp:AOqpTOGfogTx5n5Gvc6qaSITbOYwnmrps8hiskR2pPwqjWqf8V-OZD6o8MHA8OBm2gTiRnCQr00v_dalTE9D,"I think it's a great app, and a lot of fun. I had some trouble figuring things out at first, but everything works. The only complaint I would have is the cost... It would be nice to have some of the features, but they are too expensive.",4,positive
gp:AOqpTOHkQciITAKszBZuScTGpyVSI-2oU7I3XOhat2aUqorvghZ26rlJ-Y3mneNiVbG13x6hfIhWZCvuydudbks,Everything is good but i would like to see more then a five slots for habits,3,neutral
gp:AOqpTOE3z41ak_H92-oJeOIXjM5i62jpptKMdQH5TWu74HprZD7Vb6jVKw_jFyDF-eSiN5lk7sXnNyQeVHvJ-A,This app stops working everytime I install it. I have already taken its subscription but now everytime I open it crashes. I have reinstalled the app several times but the problem isn't solved.,2,negative
gp:AOqpTOEacymBE08HdZjbeb_LQdIFOyKleVGpr8hu920el6KS6jh325UjpERSU2RVSuEsYyeI7BgKD5TCOhiFPw,"Dude. Don't we all want people to pay us for everything we come up with. XXXXXXX Hi! Thanks for the attentive reply. Though this app was not worth the payment or storage space for me, I did find one that works nicely. Looking forward to more replies, hopefully relevant, or none at all.",1,negative
gp:AOqpTOFP8EGhRmZWv-s0TpcyPTHHTaCvXSPBg4Nfihsb8nLg-SLVPioVfeMQbc3OJqeP0lpAIxfanJrrLM4lcc4,"Really like this app, the layout, and ease of use. However, I did not see a way to go back and edit your scheduled days. Everything else you can edit,..time, date, category, but wanted to change my days and I had to delete the entry and start over to modify my scheduled days. Otherwise, I would've rated it 5☆s",4,positive
gp:AOqpTOHXc5dT_mJj5JkmIoa1M2modQOso_BmsBQWX8r3zzZpKGsucxI22fY7sT4Q-4aiSqclE4sc6kI7ho6lNg,"This app really draws my attention. Forest not only sends out meaningful messages (protect the green environment and save the future), but it is also a friendly reminder for me of staying focused on study and work, instead of being distracted.",5,positive
gp:AOqpTOHMaW9cP-67_fQMY5BGQfplV7GWBUFTV07xHKQ-MDlUYFhskEenHhniUN2tHsURtJrAV02hJBzgv_xu,"This app is brilliant! Clean, simple, and ultimately customizable. I've been wanting something like this for a while!",5,positive
gp:AOqpTOFPfMxP1p0I8tVxOPxXNvlQTfouP3a2QKq730to_WQlR3p4XpTLvHmLzi_7TZ1V8nyqSYhDawlKH2cnpg,"I love the app but recently the widgets have been glitching, they go blank or sometimes do respond when I click a checkbox.",3,neutral
gp:AOqpTOEV7iCwAeJTDOxQkklMjppIekvuDTtVtpv0SXKVBTMyCfsZpDQLYXOoM55rXVFpwlMQ9cTC8MZWyuxRog,Laggy.,3,neutral
gp:AOqpTOFQpCFcUarbyKLmsE2nvwVKJJAvM3VtM4hiMO8HbSeNEcVXytTZtAV0eBmTZrQtDJs3ptVZpnZ-xVC2dQ,Think its great but keeps going black and crashing all the time!,3,neutral
gp:AOqpTOE58gXhif_eMjeTMBf2d-2stm1XWjqSGJYoYqh1yGIDrLu3DRgWheStK1P4HYWIJRThyC-QssHj_QENEg,"This has everything I'm looking for from a UI perspective except one key thing: the ability to invite someone else to add/complete list items with you. It's the function Wunderlist fulfilled for us and I've been looking for a replacement ever since they were bought by MS. Add it, and it will be the dream list app I want!",4,positive
gp:AOqpTOFeBtKjKi_H2g7vft2fH4jGSkMzBojjHlaRtLXoX8po387FioTQ_X5aAcdbNFlRfNmLNwzbutKcV3ioWw,Notification is not of up to my expectation. Need to keep on reminding us until we check or tick it... Besides that.. The way of organizing the tasks and prioritizing them are perfect. I do love to continue using it if they update the notification part.,3,neutral
gp:AOqpTOGQCkRHjyMXzE6FK0GUjITU2RDf7YiIxcg9AAw8DzgJ8NhQXnDlOr80tiLvrApMUd9epWe2BLow-hc6nXY,Nice app but can be improved upon in terms of navigating the app,3,neutral
gp:AOqpTOE_Wljr9C7mlm3Imq_WYY_FB5_C66EEfqiFaO9Z0Noi88bPR58-f6ioDlNDSme9j3Uerww32sr6Y7O3Rrc,loving it so far! keeps me motivated :),4,positive
gp:AOqpTOHmyMg5F_6NVwALtm_UDehr4uXS5nfdiPQ22Y3nl5u0pCUXqvuTiY-AM2AGylZtgIbSTQHibTApodzh,"This app is so cool! It's geared towards complete configuration from the user, so give your goals the time they deserve and map it out. Once you get through learning the app, it will be an awesome tool for your future development!",5,positive
gp:AOqpTOEkZ75JR5CzVhxoxWa0XVmPanw_pEl1srcJ7yvkZdkPV4XNyXxE4R2fnG82e6qeXd7mhDYsfPYz5hh08A,I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,1,negative
gp:AOqpTOHL1vK-Eq8mPfdX1cY7FaHy_f2evq3ScazEoADkuUTbkwrsy1Zfb1NmLyJS7MAEqgjgiHrLVupIfq-E58Q,"The program is very good on my old phone(galaxy note 4), but notifications don't work on the new one(redmi note 8 pro). I hope you will fix them. Thanks",2,negative
gp:AOqpTOFAPszag_6Qvb7tGfWG2Mfbi8V8hh6tt-LPCmfuJq07eI9horzR0MzGovSI_tFaRxL1w498FspWK37FqQ,"I was about to jump wholeheartedly into using this app (its integration with Google Calendar being exactly what I'm looking for) but now I see that it has no search feature on Android. Worse still, Android Search has been on their roadmap since 2015 and it's still not done. 2015!?! In the meantime other apps can build smart lists it out of tags, status and free text. Seriously behind the curve, guys.",2,negative
gp:AOqpTOEFGbuoJQ4Qy1U6wCZkm9dpQbu0qSq5AeuFOKCa7fBSfHZHt6TrFnSmTYGPE3h7MVimyqKgCIgelayTIso,"I very rarely leave reviews, but I have to say this is the best ""to do"" app I've ever used in my life. I've even tried all the popular ones and they didn't work for me like this one does. The notifications are amazing and I love that I can snooze them.",5,positive
gp:AOqpTOG3X58pjpymJw2cQjuM7aiQzKemXnX5oDA_M53o0YNzgkfenW8YhQzYQa2OX5QJEpipmDkbPuwhAcl9ww,Good interface and design. But the sharing capabilities were riddled with issues. The app became almost unusable if you tried to share anything,3,neutral
gp:AOqpTOFspZAOysBoJi8nGN4CS4Og_6DdaWftFpfaF5OIGuXiefScyl2xKKu4dfG2xclZPu7Pe0iYRT2tQ00xPO8,Nice one,3,neutral
gp:AOqpTOE6uuWJN_EJuS8qJRHPhELZ_xYDD3PYs9mzgniHJl-qpT8m7L5cdZwH0eEMdAwwKDAicVINF6VVnPYxeg,Very simple setup and gives you an idea of where you have time in your daily schedule.,5,positive
gp:AOqpTOEtMAZENW8Mc572uiYtBbG69dCbNi8V79-BQL2CMfnx10dQWprFRl0HaZyE5AwUSUVsKDjemLri96YIakg,"Came from Wunderlist and, to no surprise, Microsoft has managed to cause issues. My wife and I create ""tasks"" as shopping lists and they take quite a bit longer to sync than they used to if they even sync at all.",2,negative
gp:AOqpTOF51Bz7Qi7nLvitQWpOEcM77UjFNP5eOhb_qM0Ugrs8gaQUZI6q5ms0hUbQNLnCziI9YekvgbhGp4DAdbk,"I signed up for the pro: $30/ year is on the bordreline for me, but i feel it is worth it if it can make me even 15% more organized or disciplibed. It has some very good features and flexibility: 1) Kanban view of projects sold me; 2) a nice habit maker capability, 3) plan my day feature where you go through the tasks of the day and either keep them or postpone them.",5,positive
gp:AOqpTOH66ctUIXw687b8OERUttORi0FntDyQ-DE5m9pnJSqb63xw8p8PN360a0o2u3BjTk54OTDALdP1nd3WGbI,Super Kalender App,5,positive
gp:AOqpTOHvaIBVAxzR3WsapkrLILt_PgVr_LiGjgBzFSEB7TXbXaMqV3hTdVvUd0ceR8CuLNJaXF61aIfBxNw_xA,"useless, as you can not group habits, but gamifying idea is good, maybe they will fix it",3,neutral
gp:AOqpTOFvFOgqG10O2oWslfPKRrPsel03Nb7--S018NH5MF5YgasH49JwNsxuk_oqdmHzCCbK-OZCNM-LTNeqZw,"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",1,negative
gp:AOqpTOHx-h1BBiolVj4_yo7tC5u0dpSOrjCgQxq_K0_UN_u6-flNFBho1zSQnBZ2zAUoO5a-n70S8DDnNijK6Q,"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",1,negative
gp:AOqpTOGdkY1JzR4zUbPXplMhztSLr8tZu22wulzoJ_F0WAEJs6pBEkfMKl-euLrp_3g2afXjLJpCncTl6CIlNA,The app is only syncing my all-day events. All other events are not displaying.,2,negative
gp:AOqpTOF3P-6eVE31htklDR5hrm40DXbsh3AEePWvlEgE9c1LzPvijipkEjqK5v1TlGZ4zQqL117ZL-L57uw-Vg,Everything good simple and easy to use the best one but you dont get reminder as alarm so that you can actually know the schedule its just give a notification which can be easily ignored by mistake .....please fix this and link it up with alarm too just like you did with default calendar app,3,neutral
gp:AOqpTOFA0ab32yH9YGfFoKPr617Dn9igkQjEjkWdUpTolpa4vFOcNi_YGe5YFDaaunMkTF7-d-V3uKAwE-NwEoM,App seems ok. But they want you to pay a monthly fee just to use a basic calendar. It let's you view the current week. Anything else and you have to pay. So many free ones out there to choose from. Uninstalling.,2,negative
gp:AOqpTOEK1lDcLbmPIcBOR5QvEP1sMqSQ-vdxgWBKt9JDUPNc-iSfEibyfgA3OPSotHiVIdPNE2e1ipqRlrSRBg,"Of all the check list apps I've tried out, this one is the best organized, and it's customizable without being overly complicated.",4,positive
gp:AOqpTOH6jUSe2FD67tfScPCycQmGEQ7DYPAwbKrRLtJ6cTESvoO4bzdkq_T0189R8EPsQB8tPMYCv0sHvoFEEA,"The app is great for organizing and planning, however the constantly crashing gets old really fast. Please fix this. Otherwise the app would be perfect!",3,neutral
gp:AOqpTOF5N9mxeXeK12t-fNDY3OIyIgMr77etjuewEORvQC3rclLvMQAa6onfX6csZe4C9pTw4cRM3tZCDi1G5g,"Not a single event, appointment, meeting, etc...is showing up. going to uninstall after rating.",2,negative
gp:AOqpTOFHu04_VA5OzH9utchwF0rjeqKT7jsTN9lOedeWCcRexo7PaPfX7atltjK7FtH_rFElUycZjS0fMjTDlcA,Nice app. it's just I feel their is always space for improvement.,3,neutral
gp:AOqpTOFt4zbpfsPTLqKKCto4zcybI_ykGLHArztxyZo3WQJ8hBj2nl3thUkouXA6wppjooerh8pAmskSlMAoeUs,"I love everything about this app, except for how it handles snoozing repeat tasks. It's easy to use and has a lot of configuration, something a lot of other apps save for the premium version. Unfortunately, I find it unusable due to how snoozing repeat tasks then alters the date/time for all future occurrences, making it difficult to manage these tasks when I just want to snooze it this one time. If this was changed I would give 5 stars and upgrade to premium as the app is otherwise perfect.",3,neutral
gp:AOqpTOF1XXkHgaWhcJn-lKXRE85zbdyIzAGOD7kBg8OeazO3kEN3WBdg_6KSxdj4MndlWWvFci0eSCtKLSRaUhI,Pretty good calendar app. I like the layout of the Samsung calendar app a little better but this one has more features.,4,positive
gp:AOqpTOHi7GgIDzlwsmgiXxYqirFmagAOs2Ec4knvQSFyMTH4EiC_0g6Q8GiMOJQT6HuDfG7us04xRWgX3_v4zw,Best app to focus and study,5,positive
gp:AOqpTOGFKtDq-eJDIg7vW26UT-_91it8dwouoS8a7LOLRjcerD6a-VAv0XEcWD9rmmy6EHLu3N72YU2Jm0oA0A,"It's actually good but then stopped working effectively since a week ... suddenly it stops and I couldn't open it...so, had to uninstall and install many a times, I also lost all my productivity due to it's sudden shutdown...mine is a pro version too..this is so bad and testing our patience.. please fix the issue.! Thankyou.",3,neutral
gp:AOqpTOGLElbPJW6Zm3Epnlwvm6BewsD32QYz78VY_1_6n1YWdzKSbwLYJV7sf1QKoqjcovUKdEYuIpCx5Gi8ATc,Love the app only had for 2 days 👍,5,positive
gp:AOqpTOEI3xnZnx7ssjrD3UA6ex6o0heZE_6LR5zz73VfYAkapwtXbdGoUuNNE4YhoBn_Tdyato72y6LatnswEQ,Great app stopping me from procrastinating... Actually getting things done 👍,5,positive
gp:AOqpTOGip6i6fLp2nzCHmP4mVVGqOXmTuZmLG_2Jz5i9Mpi5S0X1T0wixiqHF3X3mpEDbbSuWXbwh9vRTWC8zA,"The app is really good, but after some time it keeps stopping! I reinstalled it two times and the third time also, the problem persists. I was forced to uninstall it finally.",3,neutral
gp:AOqpTOEIdV88MP42iu4K3WcHvhuBbiy02j8AJCvllkmIJs2n-scC2hQwhCgDwtldOcNkJyE20Qc2V9pzxjNA,"I was going to give 4 stars, but the app does something kinda sleazy where it asks you what you would rate it and only redirects you to Google play if you said five stars, so I lowered it to 2 stars.",2,negative
gp:AOqpTOGNBybzQJ8w8Fal3P-DT0Zle0lquqnvFIRV6f4T1WM1lyRq0gMVt5EAjclvI0OxIg7AeoXa1X3MithE,"Great, but have some issues with the tasks list widget. No way I can complete a task on it without its disappearing",4,positive
gp:AOqpTOGDnqRK0SS52RureS5L4W_fkcubPQDL7I2Qetb-n4Myb9-tm3DkDfWMRCM_eC_KRkyxPQU-6_5N9SEdGko,Lack of personal themes. Not such pleasant view as it was in Wunderlist.,3,neutral
gp:AOqpTOGbSIWrtM9O_14y5Y3H7FH7zneaDyHSceu7WlK8KpwfJ831F22uDNfNmBhtqwfpqZfqaRQ5z6M0pBCR0w,The most recent update just made it harder to move times around.,2,negative
gp:AOqpTOGEcOtjXMxs-P8hcx2NXaYTPw6jdw4YrqeTnZzWCSW34quvqSChHag6HBGFutjqvQfmVPQ1-omgdvlRyQ,Just downloaded the app better review later on,3,neutral
gp:AOqpTOGMcJ_6EB3ZVTXbXxmTRwhU65iyDGoSDCKk5SJzWp0vByeA3m0w1Ov--z-loOM5_heXqO_aeg1xIgSkEQ,"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",1,negative
gp:AOqpTOHoKSMYx1Q2oefAL-GVPKMjTUnygDmQ1hZkZj_Xi7aWNA8FpKQ6M6LT--SEMaQwyhjQYqJFJ7FWtTcjPAM,Hey i was very glad to use calendar 30 until now. I can not edit anything ... If i want to delete something is reappear every time. I can't move or delete. If is not working i want my money back. I will change the review if you solve this problem. Edit :I will edit the review after you ll solve this problem. I send it an email also.,3,neutral
gp:AOqpTOGTI1opZp8aVruxMxXW7gxABH1c3NtSCzQoWNTHwy_EDNX6iGirTNRX4BHmDJzorAZW45n2O-hteH3M,Good.,4,positive
gp:AOqpTOH-oI8n59UjXHTT4lIElQA8By75m4EnA0bdOgQ9jLarcakmv-xld9JDhv5daLeV6zy7HQoVRWa48c-0XA,Didn't make any sense to me. I started using this app and attempted to make a sceduale but couldn't figure it out.,3,neutral
gp:AOqpTOFTZTHBsFvY_nWF_6JwmcX4g61IDNVS_scPyOElCITab6POg78hPXOjjQd_rIuOZt-d2hCEDM2AYUZR,"There are more effective, and honest, ways to turn a buck in the Playstore. Crippling your app with a paywall only drives home just how unnecessary the app is.",1,negative
gp:AOqpTOFyVYhw-zF1e2_cvPTv9uI1hNxJepZ333riUxn53f1qC7VU9gR_CWz_xk2HE3NWw85y44O_dJaZ5cHsL-E,Overall it's a great app that I use every day but what I truly hate is I paid for the full version and since I have 3 Google accounts in my phone no matter what instructions I'm given by the developer it doesn't recognize I bought it because it defaults to the wrong account. If they fix and let me select correct amount I'll bump my rating back up. Should have an option. Sad,2,negative
gp:AOqpTOF6ubWlYRMakfi-5kryi-ZD7Vbfcz0uilAa3nVTUHBBMIipb4DGnrhTUXh_P8o29bdlnNFCLmZirCgMyw,App s not opening...its vry hard to uninstal .. and instal again..plz fix tis prblm..otherwise app s too gud...,4,positive
gp:AOqpTOGrLoY3N96Unpo8VAVUDgjwX5xhFlx_jGQOi3IO9oV5KimZuQiv2B6HbzjF9GP7-ZFlAXSTIyUaS82VsoA,Ok but i hate big full screen ads with long videos,3,neutral
gp:AOqpTOGhwFcw2Mey3fXpMCFSLMGAkOLg9SoMiSk7g1jX_0GcY1POFbEig5Od5ffMg-cWy_r0LkSe-xcRWixAaQ,"Just I love it. I don't know this app. Once I open YouTube and see what is the best apps for student. And it tells 10 apps. But I can try only this app. So it will be very helpful, greatful, joyful and totally it suits me. It is very helpful for all. Your's, Deepika",5,positive
gp:AOqpTOGh_ZByBwdIDwxD-X_1120GPQMzvGmomokC7G1x_CkakWq34Lr9TcXt-TQr6JGR6om3sdjGk5GsDvxMew,"I'm loving the User Interface of the app. Easy to use, simplified widget display, I don't think I even need the pro version. Perfect. Completely value adding.",5,positive
gp:AOqpTOG-VpLH6291Y594voL2ZsFRZagy_iEIQBWZDWJPBngm_U8gTWYQCIS3mwB1Mc6P4K54jUTZD-ePLk5fSKM,"Extremely easy to use. Only thing I'm having troubles with is I have an event that I set for 15mins a week, everytime I try and tap that its comoleted it asks me to set the new rule instead of just marking complete.",5,positive
gp:AOqpTOGXJF2g8T_IINyiIr_n69de3tuuuLzjOo2TKhH92_4_dMJsTsXDxDGSUzAy_axJrOn-v2eo_x6qLvXN3fE,No notification of Habit tracks,2,negative
gp:AOqpTOF-JcRehrg_bp1qgtvUQB25OXfGImf4p6-21E3yrQOC6JxeJ0Dj7f82uUuUYknDrFpBmKoSjFjrNSZUgg,"Really beneficial, it allows me to follow my routines efficiently",4,positive
gp:AOqpTOG2xKr21GIdW395KickpGgJ7A1F933b0ja2oqCf6h0CxA-msNhcb4_2dLxNO9vTNy0gODrX-QvdBH-nUg,Lots of In-app purchases ... Not worth the time .,2,negative
gp:AOqpTOGyaUHYV87nhv9Q4k8vv5MhU1QdsB4TPsekPdFpt6E7jTQk5e0MxL8YgUI4raCAlieW-Kx53etK6GRtrA,My favorite aspect of this app is the visual organization of my daily events! It's a great little widget for people who need to keep track of their life but literally always forget to open the calendar app. I would like to see more color custom options 😊,4,positive
gp:AOqpTOGFjxqHEujGJPjfwW37JXhenRPpnR0uw99_ozMLJ5tQe_OmLTsXFzs9eBu2fRXHiW2KvYjbob09X9kZB9M,Worst app ever!!! During the import from Wonderlist it removed all of my data. Leave it to MS to screw up a great app.,1,negative
gp:AOqpTOGejzPqhm5De6qRkBa6FlSvxQWYMIDUpgz_c8Csw8E6f4Q_pb7-3IxwVdYOJUWh-s72n1DMlw0TMa-G7w,"Really pretty good app; but two problems! 1. Sometimes repeat weekly reminders don't work at all, especially if you haven't ticked it the previous week! 2. Please allow multiple reminders for one event! Thanks, it's really promising and useful otherwise!",3,neutral
gp:AOqpTOEgKWepIFwDqPndU5FRRd13G4HjTx2jgteau8_ym4vDthJI1Z6hKYNBvivuStQjDYxRpkpufFY_UG-Rwys,Good,3,neutral
gp:AOqpTOHFxVsxxmstVo82mJN-aXyob7nmqNNp-6WRXr7hyijn5Y8tgf7a3bFXHztMW0-EQmxuY6DXpbBouvr1ww,Good for those who read offline but not for those who have online studying platform.,4,positive
gp:AOqpTOH95OpbfxogwoxRV3zqdIFt0CNlPeII2gf11GS-s-FdXf1xWPMZx_8ug7S_gRYTdF_JlDfFO7z_blNgDw,"NEED MORE ×.WITH APP, SO FAR SOGOOD",3,neutral
gp:AOqpTOFR4xh0YL_mVEE9YORJek7ZIP_klvw7EHil5greSHYgD-3fyK-Z0_grHe98T_Kbqciz2PsOyn8j8AdygNQ,"Basic version works as described; just not what I need. The habits I want to improve require reminders at different times of day. And I'm personally not finding it an effective incentive, especially 'starting over' if missing one time. That's kind of a carrot AND stick approach. I'll stick to a simple checklist of what, & calendar/alarm clock to remind me when. Making this app's functions kind of ...basic and redundant? And since all apps use space... well, uninstalled. But the app works fine.",4,positive
gp:AOqpTOECR-iOdPN2BUPbIsV_EFk8yRDnY6BNSjSfqDLuP6SJYdzs02k0ZlfaCHUkYb0I9tyqOHg67pYlzcCpTw,"This application is very helpful for me. Thanks ""Any.do"" for everything to remember me.",5,positive
gp:AOqpTOG_yM6Y1CflFGEhx1USQ70OD9Qc-IjSUwjQD27eILyhchujDPeb47cTXLhlzZDRjG-Nh54mDupGGXjeEg,This app is crashing again and again and again. I've pro version still it keeps crashing every 2nd day. Please fix this it's damn irritating every 2nd day to get a fresh installation.,3,neutral
